Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
560,Nike dunk  Halloween arancioni,120.0,NIKE,"NOIR, ORANGE",38.5,https://www.vinted.fr/items/3888863742-nike-dunk-halloween-arancioni?referrer=catalog,https://images1.vinted.net/t/01_016f6_9fTZBaZpN4vy9XkEwEqi6YYX/310x430/1702758802.jpeg?s=c82d00d9677316b4d7eb5a4b04f9b48ead16c2f9,"ROMA, ITALIE",Women
561,dunk low gold suède ,135.0,NIKE,"BLANC, MOUTARDE",36,https://www.vinted.fr/items/3888092238-dunk-low-gold-suede?referrer=catalog,https://images1.vinted.net/t/02_026e1_GtTcDSP3ZQ42m32vYFhVXeTu/310x430/1702742431.jpeg?s=621f98b15ad35400be1cd14701df6ab36ce0d640,"LE MANS, FRANCE",Women
562,Nike dunk low,160.0,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3880563036-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/02_01198_LH2JBY6XyCUyKjEAScHfM978/310x430/1702507671.jpeg?s=5e111e7a553a399444a40986fd23a6dfec26264f,"GONESSE, FRANCE",Women
563,Nike dunk panda,165.0,NIKE,NOIR,38,https://www.vinted.fr/items/3869417994-nike-dunk-panda?referrer=catalog,https://images1.vinted.net/t/01_0045b_fLLQtJw7G36Prm3jDRnoLqU8/310x430/1702239684.jpeg?s=6f4b9e805d751c929056a5a48555b44f5ecaed48,"TOURS, FRANCE",Women
564,Nike dunk aguacate,70.0,NIKE,"BLANC, KAKI",37.5,https://www.vinted.fr/items/3874557457-nike-dunk-aguacate?referrer=catalog,https://images1.vinted.net/t/01_0001b_EsaCceNtCEfoZFbWRhSSerxV/310x430/1702378264.jpeg?s=c5ebb66ecab7f0a1cb1f610613924df0b4ca2040,"RIVAS-VACIAMADRID, ESPAGNE",Women
565,nike dunk,100.0,NIKE,"NOIR, BORDEAUX",38,https://www.vinted.fr/items/3880289993-nike-dunk?referrer=catalog,https://images1.vinted.net/t/01_00fdf_3EAGPEsfjoW9GYaDzb2nha9A/310x430/1702500901.jpeg?s=79daf7513df2d5dd6d0999151936c6cf899f45b7,ESPAGNE,Women
566,Dunk Low Photon Dust,149.99,NIKE,"GRIS, BLANC",37.5,https://www.vinted.fr/items/3883896550-dunk-low-photon-dust?referrer=catalog,https://images1.vinted.net/t/01_00620_mh3Vgq5pTr3DFnm3CW1aftvL/310x430/1702630047.jpeg?s=e9ba75c37cc4b79920ab2d08974363f8aab9a8fc,"LE GRAU-DU-ROI, FRANCE",Women
567,Chaussure nike dunk,45.0,NIKE,"BLANC, ROSE",39,https://www.vinted.fr/items/3862027499-chaussure-nike-dunk?referrer=catalog,https://images1.vinted.net/t/01_0120c_Y8APeKA2NwZBM1QEe2hsY1bu/310x430/1702121943.jpeg?s=e4262bdbe737dbf10a9f7e894699fbae88371a6e,"BOGNY-SUR-MEUSE, FRANCE",Women
568,Baskets Nike TN Air Max Tuned,90.0,NIKE,"BLANC, MULTICOLORE",38.5,https://www.vinted.fr/items/3886998196-baskets-nike-tn-air-max-tuned?referrer=catalog,https://images1.vinted.net/t/02_013d3_LJnxxXG48Eu3e6VJxHqJLhge/310x430/1702725571.jpeg?s=daea79dece9ab5e65ff352a50f99ad4e9ab9fe9e,FRANCE,Women
569,Nike Dunk Low Pink,130.0,NIKE,"BLANC, ROSE",36.5,https://www.vinted.fr/items/3888962913-nike-dunk-low-pink?referrer=catalog,https://images1.vinted.net/t/01_02359_HxMeac6LSPpqCXJLprNJGTJh/310x430/1702761657.jpeg?s=69d1611ed7e3f6a9534957544c122a72c7ca5b6d,FRANCE,Women
570,Nike dunk low ,119.0,NIKE,"NOIR, BLANC",40,https://www.vinted.fr/items/3884010706-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_018a2_RKRKF9DLMADxxTFzTSgsSR9B/310x430/1702632806.jpeg?s=244141ee321fb6fa2b39115b3e90f66aa17f70ec,FRANCE,Women
571,Dunk orange blanche noir,80.0,NIKE,"BLANC, ORANGE",38,https://www.vinted.fr/items/3886215397-dunk-orange-blanche-noir?referrer=catalog,https://images1.vinted.net/t/02_013b7_HHDxuE2pwpEyVYBwDGX1UX3L/310x430/1702680569.jpeg?s=5ff8beef966daee555ed5622c8a1c339eccc90ac,"VITRY-SUR-SEINE, FRANCE",Women
572,Dunk low rose pink noir black ,150.0,NIKE,"NOIR, ROSE",39,https://www.vinted.fr/items/3886695050-dunk-low-rose-pink-noir-black?referrer=catalog,https://images1.vinted.net/t/01_010ea_WFQ44aBQw5D4F6hpz8QrsXWz/310x430/1702720802.jpeg?s=e61f42dc1ab7b3187dd0340fbc7f33c7e7eec86a,"ORMESSON-SUR-MARNE, FRANCE",Women
573,Nike dunk ,65.0,NIKE,"CORAIL, BORDEAUX",37.5,https://www.vinted.fr/items/3868923594-nike-dunk?referrer=catalog,https://images1.vinted.net/t/03_018ba_SYkpHfiV7tM8MB6yqYCN8LMa/310x430/1702233950.jpeg?s=ff99666bb619ea34f66805247af1362641b1312f,"RONCQ, FRANCE",Women
574,Nike Dunk Low,170.0,NIKE,JAUNE,37.5,https://www.vinted.fr/items/3878570986-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_01568_wPD5Ss3F5MoRaCPaVsvaFTTA/310x430/1702473977.jpeg?s=01b85ac6ae1968bb3fba0f29d8a8c1baa83b6099,"MATOSINHOS, PORTUGAL",Women
575,Classic and charming Nike Dunk Low,75.0,NIKE,MARRON,38,https://www.vinted.fr/items/3886372513-classic-and-charming-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_002d6_VUFhBd5MzMbUeytodZgNpmnH/310x430/1702710970.jpeg?s=1267bdfd4603a60381a97b9a4a1f853558425766,FRANCE,Women
576,Dunk low ,100.0,NIKE,"NOIR, KAKI",38.5,https://www.vinted.fr/items/3858817281-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_01cbb_Kjj7FyK9X3fHrhyS3hCKgxWP/310x430/1702039603.jpeg?s=8210355cc2ff9610429e49bca3f12d2247f4a89b,"SAINT-GILLES, FRANCE",Women
577,Dunk Panda,120.0,NIKE,"NOIR, BLANC",39,https://www.vinted.fr/items/3880232562-dunk-panda?referrer=catalog,https://images1.vinted.net/t/01_00bd5_9a8tAYcbhNriVJL6uxAR3Wbs/310x430/1702499882.jpeg?s=8cac3ec8c93aea525a68a663ae89a53183a2743a,"PARIS, FRANCE",Women
578,Nike Dunk low noir et orange taille 41,75.0,NIKE,"NOIR, MOUTARDE",41,https://www.vinted.fr/items/3885594430-nike-dunk-low-noir-et-orange-taille-41?referrer=catalog,https://images1.vinted.net/t/02_01fdc_EakVJGo7RsRdY5pJtFcHHyiu/310x430/1702663125.jpeg?s=c178b86e320bd391f23d56c27c791d9e6d797e5f,"GENILAC, FRANCE",Women
