Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
64,Nike Dunk Low Retro White Black Panda 41,69.6,NIKE,NOIR,41,https://www.vinted.fr/items/3880851509-nike-dunk-low-retro-white-black-panda-41?referrer=catalog,https://images1.vinted.net/t/03_007c6_DGxb3Qp7cGcB4qWceJmaEiL2/310x430/1702542173.jpeg?s=b2e753efd2bf56d3d88a9c87666cf1759399d7e5,"MANOSQUE, FRANCE",Men
65,dunk low ,60.0,NIKE,GRIS,"42,5",https://www.vinted.fr/items/3891792817-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_02214_748RZagedy7CNTu4yRqsSHJ4/310x430/1702836687.jpeg?s=978bb92a90c62e0eed8ed617fd4604f3ea4120df,FRANCE,Men
66,Nike Dunk Michigan,60.0,NIKE,"MARINE, JAUNE",42,https://www.vinted.fr/items/3881843700-nike-dunk-michigan?referrer=catalog,https://images1.vinted.net/t/02_02414_pYV4uhE8Yee3pfFiuvztM7mC/310x430/1702560450.jpeg?s=71e2ef532af953036929b5bd55e1f3dc0290f17c,"TALENCE, FRANCE",Men
67,Nike Dunk Low Grey Fog 41,51.24,NIKE,BLANC,41,https://www.vinted.fr/items/3890090454-nike-dunk-low-grey-fog-41?referrer=catalog,https://images1.vinted.net/t/01_00d46_FTuL8ooM18sXonLpHhDGG4f9/310x430/1702814004.jpeg?s=4b41e334fc6ba15cfc24aca7a26011dc12820976,FRANCE,Men
68,Nike Dunk Low Panda,65.0,NIKE,"NOIR, BLANC",43,https://www.vinted.fr/items/3882154773-nike-dunk-low-panda?referrer=catalog,https://images1.vinted.net/t/01_01e53_1KzhhSEGJge5mnWVzomfigsB/310x430/1702565483.jpeg?s=df4f993c7e25bf534a20fc0ad2a6aa16c9e4830d,"CAHORS, FRANCE",Men
69,Nike dunk retro ,65.0,NIKE,GRIS,44,https://www.vinted.fr/items/3883389688-nike-dunk-retro?referrer=catalog,https://images1.vinted.net/t/01_01307_it32vgGJ19yXrZFysXM5JYeP/310x430/1702588490.jpeg?s=72f347c8ab6a7cf78d834203ae93f585b018eda3,"PARLA, ESPAGNE",Men
70,Nike Dunk low 43,50.0,NIKE,KAKI,43,https://www.vinted.fr/items/3889310392-nike-dunk-low-43?referrer=catalog,https://images1.vinted.net/t/03_00fc8_SoAJry46T6c47jGdq62Cwei9/310x430/1702800681.jpeg?s=1fb81e67aa6e77499abd5fd3cdb8d27802a23b40,"AUBINGES, FRANCE",Men
71,dunk low meidum olive 44.5,55.0,NIKE,"BLANC, KAKI","44,5",https://www.vinted.fr/items/3890008971-dunk-low-meidum-olive-445?referrer=catalog,https://images1.vinted.net/t/03_010f9_yPNcjm1ByC5CuZSydksUcqku/310x430/1702812926.jpeg?s=7fc074cd32c149b8220b30d651aca3e8c307e71d,"LUXEMBOURG, LUXEMBOURG",Men
72,Dunk nike,125.0,NIKE,"NOIR, VIOLET","42,5",https://www.vinted.fr/items/3881377982-dunk-nike?referrer=catalog,https://images1.vinted.net/t/03_01b6d_6efG6zwyX1tkpukgj7N5X44i/310x430/1702552620.jpeg?s=d65c5f6a0b4a875e40347cbae480313e624b3d20,FRANCE,Men
73,Dunk union passport court purple,160.0,NIKE,"BLANC, VIOLET","42,5",https://www.vinted.fr/items/3860108989-dunk-union-passport-court-purple?referrer=catalog,https://images1.vinted.net/t/03_00535_9WKarjnjQrxCtKtaPM6FFrXj/310x430/1702058909.jpeg?s=c9d415a1fbf607e91616ab06bf4c7d6c8abbb6d1,"BREST, FRANCE",Men
74,Nike Dunk numero 40,38.0,NIKE,"BEIGE, MARRON",40,https://www.vinted.fr/items/3890606434-nike-dunk-numero-40?referrer=catalog,https://images1.vinted.net/t/03_01a05_RYyTQTJiUm65uxbHnYJoobiL/310x430/1702820702.jpeg?s=253b5edd66050ae06cc422563a0223cf627cb3f9,"FRATTAMINORE, ITALIE",Men
75,Nike Dunk Low Medium Olive 42.5,55.9,NIKE,"VERT, KAKI","42,5",https://www.vinted.fr/items/3887412676-nike-dunk-low-medium-olive-425?referrer=catalog,https://images1.vinted.net/t/01_01914_m9AfvzAyH16J6ecV9eqWYA6U/310x430/1702732008.jpeg?s=2cf590ad36b86f9458d31f92ecb6053473499618,"LISBOA, PORTUGAL",Men
